caldt,b30ret,b30ind,b10ret,b10ind,b2ret,b2ind,b1ret,b1ind,t90ret,t90ind,t30ret,t30ind,cpiret,cpiind
1970-01-30,0.005413,72.088900,0.028827,72.790320,0.009342,79.691640,0.006463,81.593220,0.007158,85.411160,0.005781,87.236350,0.002653,88.9
1970-02-27,0.076670,77.615930,0.067886,77.731760,0.025314,81.708960,0.016646,82.951410,0.007986,86.093240,0.006167,87.774340,0.005291,89.4
1970-03-31,-0.009795,76.855690,-0.000269,77.710860,0.008288,82.386140,0.008367,83.645450,0.007078,86.702600,0.005542,88.260760,0.005263,89.9
1970-04-30,-0.042397,73.597280,-0.050871,73.757640,-0.007192,81.793620,-0.002925,83.400810,0.005494,87.178960,0.005286,88.727300,0.007853,90.6
1970-05-29,-0.040712,70.600980,-0.006522,73.276570,0.002936,82.033790,0.007536,84.029300,0.006237,87.722700,0.005546,89.219370,0.002597,90.8
1970-06-30,0.062987,75.047900,0.021395,74.844320,0.012961,83.097020,0.008878,84.775330,0.007455,88.376660,0.005546,89.714200,0.005181,91.3
1970-07-31,0.031779,77.432850,0.029294,77.036810,0.012224,84.112800,0.009488,85.579650,0.005793,88.888620,0.004886,90.152570,0.005155,91.8
1970-08-31,-0.019441,75.927490,-0.009523,76.303190,0.009432,84.906130,0.006963,86.175550,0.005442,89.372370,0.005020,90.605100,0.000000,91.8
1970-09-30,0.030337,78.230900,0.021787,77.965610,0.014686,86.153090,0.006826,86.763810,0.006230,89.929170,0.005034,91.061170,0.005128,92.2
1970-10-30,-0.002201,78.058720,0.002139,78.132370,0.005353,86.614240,0.007873,87.446880,0.005448,90.419080,0.004954,91.512300,0.005102,92.7
1970-11-30,0.059584,82.709730,0.073034,83.838710,0.028117,89.049600,0.017299,88.959620,0.006665,91.021720,0.004489,91.923120,0.005076,93.2
1970-12-31,-0.026464,80.520940,0.003009,84.090970,0.004518,89.451900,0.005123,89.415360,0.004602,91.440600,0.003786,92.271140,0.005051,93.6
1971-01-29,0.062537,85.556470,0.044649,87.845570,0.020035,91.244080,0.013628,90.633930,0.005191,91.915290,0.003777,92.619670,0.000000,93.6
1971-02-26,-0.017507,84.058650,-0.000506,87.801090,0.011340,92.278810,0.009482,91.493320,0.004635,92.341310,0.003344,92.929440,0.002513,93.9
1971-03-31,0.040610,87.472240,0.059129,92.992670,0.007614,92.981420,0.003427,91.806850,0.003004,92.618720,0.002924,93.201110,0.002506,94.1
1971-04-30,-0.003611,87.156390,-0.037425,89.512450,-0.016031,91.490810,-0.004767,91.369200,0.002311,92.832750,0.002804,93.462440,0.002500,94.4
1971-05-28,0.003574,87.467870,-0.021313,87.604680,0.001165,91.597390,0.001363,91.493760,0.002422,93.057590,0.003127,93.754700,0.004988,94.8
1971-06-30,-0.001678,87.321130,-0.012386,86.519600,-0.008898,90.782390,-0.005324,91.006630,0.003011,93.337790,0.003505,94.083260,0.007444,95.5
1971-07-30,0.005578,87.808200,0.008733,87.275150,0.011327,91.810660,0.007004,91.644050,0.004340,93.742870,0.004272,94.485210,0.002463,95.8
1971-08-31,0.048894,92.101490,0.046098,91.298360,0.015341,93.219130,0.012819,92.818830,0.006234,94.327260,0.004446,94.905290,0.002457,96.0
1971-09-30,0.020593,93.998110,0.027940,93.849270,0.007192,93.889550,0.004150,93.204040,0.003585,94.665420,0.003630,95.249810,0.000000,96.0
1971-10-29,0.020847,95.957720,0.014894,95.247030,0.012539,95.066840,0.011655,94.290340,0.004444,95.086110,0.003855,95.617010,0.002451,96.2
1971-11-30,-0.002401,95.727330,0.010080,96.207160,0.003374,95.387590,0.003862,94.654470,0.003974,95.463990,0.003506,95.952220,0.000000,96.2
1971-12-31,-0.002559,95.482360,0.000245,96.230690,0.010000,96.341480,0.008953,95.501900,0.005181,95.958600,0.003152,96.254600,0.004890,96.7
1972-01-31,-0.008920,94.630620,-0.009879,95.280050,0.005295,96.851590,0.005835,96.059190,0.004022,96.344530,0.002850,96.528920,0.000000,96.7
1972-02-29,0.014795,96.030710,0.002768,95.543770,0.005054,97.341090,0.003411,96.386830,0.002784,96.612770,0.002659,96.785620,0.004866,97.2
1972-03-30,-0.007411,95.319030,0.000559,95.597180,-0.009913,96.376160,-0.001644,96.228370,0.002357,96.840460,0.002590,97.036280,0.002421,97.4
1972-04-28,0.008323,96.112350,0.009324,96.488540,0.011933,97.526200,0.009088,97.102890,0.003784,97.206910,0.002962,97.323750,0.002415,97.6
1972-05-31,0.020554,98.087850,0.006258,97.092360,0.008133,98.319370,0.005084,97.596560,0.003224,97.520310,0.002942,97.610060,0.002410,97.9
1972-06-30,-0.007456,97.356510,-0.001270,96.969050,-0.004006,97.925540,-0.001078,97.491370,0.003085,97.821160,0.002800,97.883330,0.002404,98.1
1972-07-31,0.022068,99.504980,0.003760,97.333670,0.008655,98.773050,0.007680,98.240110,0.004233,98.235230,0.003084,98.185160,0.004796,98.6
1972-08-31,0.006791,100.180700,-0.004457,96.899860,-0.002349,98.541030,-0.001744,98.068740,0.002413,98.472300,0.002988,98.478590,0.002387,98.8
1972-09-29,-0.003549,99.825160,0.000651,96.962940,0.001306,98.669750,0.003009,98.363860,0.003705,98.837110,0.003546,98.827770,0.002381,99.1
1972-10-31,0.013099,101.132800,0.018053,98.713390,0.005826,99.244590,0.006602,99.013230,0.004105,99.242850,0.003891,99.212250,0.004751,99.5
